fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2708,201401,-2.2143,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
2708,201402,4.3097,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
2708,201403,-0.4902,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
2708,201404,0.2815,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
2708,201405,1.6842,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
2708,201406,1.8634,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
2708,201407,-1.4228,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
2708,201408,2.3368,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
2708,201409,-3.358,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
2708,201410,0.5559,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0,-2.72
2708,201411,0.9675,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
2708,201412,-1.3671,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
2708,201501,-0.8935,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
2708,201502,4.0571,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
2708,201503,-1.1552,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
2708,201504,2.1183,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
2708,201505,-0.1431,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
2708,201506,-2.2206,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
2708,201507,-0.4396,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
2708,201508,-5.0037,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
2708,201509,-3.0984,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
2708,201510,5.9952,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
2708,201511,-0.5279,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
2708,201512,-2.0762,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
2708,201601,-4.7091,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
2708,201602,-0.5814,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
2708,201603,6.0429,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
2708,201604,1.5625,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16
2708,201605,0.362,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14
2708,201606,-0.2705,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54
2708,201607,3.6166,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46
2708,201608,0.7853,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34
2708,201609,0.6926,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09
2708,201610,-1.7197,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7
2708,201611,0.175,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01
2708,201612,1.2823,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05
2708,201701,2.2789,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39
2708,201702,1.7825,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11
2708,201703,0.9632,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98
2708,201704,1.4744,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19
2708,201705,1.7949,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59
2708,201706,0.5877,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01
2708,201707,2.4207,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06
2708,201708,0.4075,-1.9997,-2.1008,-2.2834,0.3546,-0.6551,-1.9579,3.53,-0.41
2708,201709,1.5422,7.821,9.8655,8.4296,2.5157,4.1298,4.5581,-1.23,2.8
2708,201710,1.5188,-1.6289,0.3666,0.3082,2.2918,1.458,1.7178,4.3,-0.79
2708,201711,1.4961,2.4251,2.8899,4.0941,4.1918,3.7667,3.1984,-0.75,0.3
2708,201712,0.9237,1.4001,-0.3427,1.7271,0.9457,0.8373,1.2083,-1.62,-0.86
2708,201801,4.5089,2.1066,2.3664,2.6344,5.1922,4.0528,3.3308,3.94,0.57
2708,201802,-3.621,-3.9537,-4.0959,-3.5894,-3.4666,-4.3996,-4.5239,3.98,-0.99
2708,201803,-0.7194,1.4024,1.7771,0.977,-0.4391,-0.5834,-0.3663,-1.28,0.33
2708,201804,0.4831,0.4733,0.8323,1.3597,-0.3442,-0.155,0.4419,0.27,-0.54
2708,201805,0.5609,7.9327,6.6084,4.1766,3.3763,2.0795,1.3378,3.77,-0.2
2708,201806,-0.5578,1.6495,-0.1278,0.7157,1.317,0.6976,-0.9024,-2.41,0.9
2708,201807,2.1635,-0.4172,0.3703,0.1197,2.5255,3.0834,2.0046,-1.62,1.5
2708,201808,0.8627,6.3336,3.1688,1.3424,5.646,1.7389,1.6068,5.29,1.29
2708,201809,-0.2333,-0.8417,-2.9806,-2.4214,-0.1477,-1.1687,-1.6889,-0.07,0.24
2708,201810,-6.781,-13.4735,-10.9562,-8.7567,-10.028,-7.0165,-8.2994,-1.82,1.27
2708,201811,1.5886,-1.5719,0.433,-2.0924,2.7689,2.3611,1.4581,-1.4,1.07
2708,201812,-5.448,-14.791,-13.5017,-13.2842,-9.7363,-10.3906,-13.242,1.73,-1.94
2801,201401,-5.9661,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
2801,201402,4.3259,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
2801,201403,2.6261,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
2801,201404,0.1347,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
2801,201405,0.9415,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
2801,201406,1.1992,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
2801,201407,-0.4608,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
2801,201408,2.8439,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
2801,201409,-2.5723,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
2801,201410,1.3201,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0,-2.72
