fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2708.0,200109.0,-6.9507,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
2708.0,200110.0,2.5703,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
2708.0,200111.0,4.7768,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
2708.0,200112.0,0.753,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
2708.0,200201.0,-1.1967,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
2708.0,200202.0,-0.5299,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
2708.0,200203.0,3.1963,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
2708.0,200204.0,-2.2124,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
2708.0,200205.0,-0.3017,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
2708.0,200206.0,-4.4629,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
2708.0,200207.0,-6.8092,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
2708.0,200208.0,0.7647,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
2708.0,200209.0,-7.5042,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
2708.0,200210.0,4.5579,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
2708.0,200211.0,4.3592,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
2708.0,200212.0,-3.1019,-9.377,-4.2131,-3.4785,-6.0359,-3.4005,-3.3266,9.65,10.58
2708.0,200301.0,-1.9696,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
2708.0,200302.0,-1.0046,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
2708.0,200303.0,0.2768,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
2708.0,200304.0,6.2557,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
2708.0,200305.0,5.368,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
2708.0,200306.0,1.3147,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
2708.0,200307.0,1.0543,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
2708.0,200308.0,2.1669,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
2708.0,200309.0,0.1571,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
2708.0,200310.0,4.3922,7.536,7.9555,10.4712,7.5395,7.0177,9.6263,3.73,2.1
2708.0,200312.0,5.098,2.1734,2.8454,4.9927,2.3284,4.4251,5.6178,-5.71,1.74
2769.0,199901.0,4.2441,10.7277,6.1625,8.6679,1.3107,-2.126,-2.1505,3.04,-2.3
2769.0,199902.0,-1.9387,-7.0658,-5.1109,-4.2249,-4.996,-2.7635,-3.1612,-0.16,2.34
2769.0,199903.0,4.3891,-2.58,-1.6972,-3.2963,2.399,3.1173,1.1557,-1.29,0.23
2769.0,199904.0,3.75,7.1198,9.538,9.7093,7.32,10.3633,9.3549,-9.06,2.44
2769.0,199905.0,-3.943,4.0518,4.1057,5.0657,1.6299,1.9072,2.1105,-5.28,1.11
2769.0,199906.0,6.5374,4.3535,4.1361,3.9522,5.6919,2.1143,2.3336,4.89,1.53
2769.0,199907.0,-4.1741,0.8483,1.5041,2.1261,-2.8676,-1.8332,-2.5551,1.51,1.39
2769.0,199908.0,-0.1862,-4.1731,-2.826,-3.2633,-2.7616,-4.1614,-2.9321,2.92,-3.23
2769.0,199909.0,0.0373,0.0939,-1.1307,-3.5938,-0.34,-3.9612,-4.33,6.46,-0.84
2769.0,199910.0,3.3184,-0.559,-1.3614,-2.0488,5.5616,2.5456,1.8091,5.47,-1.02
2769.0,199911.0,1.8766,18.3451,9.0421,7.6667,6.6886,-1.9359,0.3523,5.62,0.17
2769.0,199912.0,8.0556,16.3782,7.1653,5.7532,9.6077,0.8211,3.4496,13.19,-13.96
2769.0,200001.0,-3.8732,10.2427,4.5864,9.1153,-4.5231,-4.4975,-6.9066,1.86,2.58
2769.0,200002.0,-2.0147,24.4588,12.0355,13.8333,6.0672,-5.8884,-4.7632,18.36,-13.38
2769.0,200003.0,8.2617,-4.4137,-0.0288,-0.1295,8.5056,13.819,13.8647,-6.39,9.89
2769.0,200004.0,0.8978,-16.9636,-6.8585,-7.0279,-3.5882,1.7858,0.481,-8.58,-1.97
2769.0,200005.0,-2.3956,-10.5732,-5.4728,-5.3272,-1.8818,1.7477,1.9792,-9.08,-8.7
2769.0,200006.0,1.122,13.4953,7.8358,6.1428,4.4578,-3.8768,-4.3902,16.6,12.24
2769.0,200007.0,0.3121,-7.0436,0.1569,0.7195,-5.6896,3.2367,3.4024,-0.11,6.5
2769.0,200008.0,7.3972,7.7102,4.6923,4.7951,10.9445,7.3994,7.1347,5.71,0.46
2769.0,200009.0,-1.6736,-8.8858,-1.8263,-1.8723,-6.1229,0.1208,-0.6104,2.18,2.49
2769.0,200010.0,1.0147,-10.8487,-3.9436,-5.5856,-5.3606,0.6695,0.6243,-4.63,-4.78
2769.0,200011.0,-6.1568,-21.3223,-7.8815,-6.9662,-16.4442,-1.4918,-1.2806,-2.41,-14.61
2769.0,200012.0,0.1219,-8.4715,0.1656,-0.6089,2.8232,10.3134,13.954,6.7,-6.6
2769.0,200101.0,0.6574,43.9889,21.5762,20.102,15.3216,2.1535,4.5507,-25.06,16.21
2769.0,200102.0,-7.9908,-14.684,-3.2647,-0.6369,-16.1367,-0.7728,1.2034,12.51,12.22
2769.0,200103.0,-7.3069,-11.7902,-3.0353,-2.9495,-12.2313,-3.3908,-2.4861,8.35,-7.65
2769.0,200104.0,8.2432,11.4306,4.5794,3.0459,14.8291,7.3559,5.9413,-7.97,9.87
2769.0,200105.0,-0.1248,7.5188,7.3479,9.0744,2.3658,3.0852,3.0346,2.12,3.63
2769.0,200106.0,-2.2083,1.6936,3.5947,1.8391,-0.1552,-1.5537,-0.9601,0.35,0.5
2769.0,200107.0,-1.1504,-8.01,-3.3206,-0.7438,-4.2037,-0.7335,-0.8442,5.47,1.28
2769.0,200108.0,-7.6724,-7.4087,-3.0609,-1.962,-7.0658,-2.7453,-5.5504,5.54,-3.92
2769.0,200109.0,-9.8039,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
2769.0,200110.0,5.4865,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
2769.0,200111.0,9.3719,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
2769.0,200112.0,0.7775,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
2769.0,200201.0,2.2311,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
2769.0,200202.0,-3.23,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
2769.0,200203.0,1.9847,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
2769.0,200204.0,-5.4843,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
2769.0,200205.0,-1.1699,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
2769.0,200206.0,-7.1023,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
2769.0,200207.0,-5.1478,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
2769.0,200208.0,2.5255,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
2769.0,200209.0,-11.478,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
2769.0,200210.0,9.8283,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
2769.0,200211.0,3.4501,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
2769.0,200212.0,-5.8364,-9.377,-4.2131,-3.4785,-6.0359,-3.4005,-3.3266,9.65,10.58
2769.0,200301.0,-3.4311,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
2769.0,200302.0,-2.5788,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
2769.0,200303.0,1.0,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
2769.0,200304.0,7.2219,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
2769.0,200305.0,3.585,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
2769.0,200306.0,-0.2098,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
2769.0,200307.0,3.4157,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
2769.0,200308.0,3.2012,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
2769.0,200309.0,-2.3634,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
