fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2413,200401,1.9654,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2413,200402,1.7977,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2413,200403,-1.868,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
2413,200404,-0.4606,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2413,200405,0.173,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2413,200406,1.5384,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
2413,200407,-2.3306,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
2413,200408,0.0751,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
2413,200409,0.8029,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
2413,200410,-0.129,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
2413,200411,3.5296,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
2413,200412,2.4426,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
2413,200501,-3.4029,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
2724,200401,1.7595,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2724,200402,1.585,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2724,200403,-0.2837,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
2724,200404,-1.8492,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2724,200405,1.2319,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2724,200406,2.2906,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
2724,200407,-3.429,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
2724,200408,0.2899,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
2724,200409,2.3121,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
2724,200410,1.6243,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
2724,200411,5.5758,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
2724,200412,3.6742,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
2724,200501,-2.8296,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
2724,200502,2.3825,0.0825,0.9714,1.5728,1.6583,3.0695,2.781,3.16,-2.35
2724,200503,-1.8746,-5.4096,-2.3046,-1.6161,-1.3525,-1.1136,-0.6693,0.54,0.13
2724,200504,-1.7787,-7.012,-5.8827,-5.9099,-3.6351,-3.0782,-3.6685,-0.85,-1.85
2724,200505,3.4876,6.7482,5.0035,3.4769,5.5289,4.7535,5.4207,0.43,3.16
2724,200506,0.8425,2.9887,3.618,4.0485,0.6894,3.0394,3.0555,2.05,0.04
2724,200507,3.9203,7.6016,7.1404,6.3426,5.2043,5.1982,4.8475,-0.01,-0.11
2724,200509,1.7934,0.7411,0.5148,0.8575,0.0983,1.3838,1.2918,3.46,-3.73
2724,200510,-1.8226,-4.3223,-2.7448,-2.6828,-1.5828,-2.7264,-3.1419,-1.28,1.58
2724,200511,3.9604,3.4987,3.7404,3.2183,4.998,4.3571,3.2227,0.25,0.09
2724,200512,1.5881,0.8007,0.1512,1.3211,0.494,1.1842,1.1884,0.77,1.95
2724,200601,3.8698,10.0755,8.6725,7.3746,3.7446,4.5291,4.8465,2.68,-1.1
2724,200602,-0.5914,0.8663,0.3361,0.6974,0.4074,0.2545,-1.0817,-1.84,3.35
2724,200603,1.7252,4.2264,4.7742,5.2868,2.519,1.902,1.5237,1.26,0.03
2724,200604,1.9298,-0.7065,0.4994,1.8149,0.2913,0.9501,2.6648,0.61,-0.36
2724,200605,-4.3603,-7.9298,-4.0883,-3.4381,-4.0181,-2.5191,-2.14,-3.65,-0.03
2724,200606,0.06,-1.381,-0.7962,-0.0727,-0.4778,-0.7072,0.3026,1.49,-0.61
2724,200607,-0.5396,-5.5367,-2.9042,-2.4477,-3.3359,-1.9166,-1.207,-2.21,0.24
